epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.225,1.27401,2.24261,1.00111,0.99501,0.15114,0.24331,0.15992,1.09908,2.87271,0.95746,0.000328358,0.000328358,0.000328358
2,363.964,1.11866,1.05925,0.94531,0.89569,0.4032,0.41824,0.22241,1.13154,1.29024,0.96371,0.000655141,0.000655141,0.000655141
3,495.615,1.05357,0.91812,0.91819,0.81365,0.51226,0.5325,0.28699,1.0208,0.90971,0.9378,0.000975323,0.000975323,0.000975323
4,618.118,1.00652,0.82274,0.91096,0.77584,0.55907,0.6021,0.28656,1.10675,0.84171,0.96484,0.0009703,0.0009703,0.0009703
5,739.345,1.00765,0.75202,0.91181,0.80833,0.39076,0.60267,0.31105,0.94651,0.76639,0.91495,0.0009604,0.0009604,0.0009604
6,868.107,0.9974,0.71159,0.90574,0.67224,0.64183,0.66389,0.3474,0.95375,0.74709,0.92441,0.0009505,0.0009505,0.0009505
7,989.16,0.95934,0.69108,0.89671,0.69731,0.68687,0.70661,0.40671,0.89289,0.63602,0.90399,0.0009406,0.0009406,0.0009406
