epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5409.12,0.76957,0.40162,0.85369,0.94613,0.76362,0.77365,0.45492,0.80471,0.4047,0.87295,0.0005941,0.0005941,0.0005941
43,5531.91,0.77235,0.4105,0.85082,0.95306,0.77519,0.78596,0.49194,0.77283,0.3924,0.86534,0.0005842,0.0005842,0.0005842
44,5656.01,0.79465,0.41386,0.85444,0.96727,0.76543,0.77628,0.47962,0.79354,0.4059,0.86679,0.0005743,0.0005743,0.0005743
45,5780.62,0.77372,0.40098,0.8525,0.95053,0.77218,0.78636,0.47759,0.79781,0.39276,0.86882,0.0005644,0.0005644,0.0005644
46,5903.49,0.76675,0.40538,0.84828,0.93603,0.75975,0.76422,0.43611,0.81173,0.4004,0.87265,0.0005545,0.0005545,0.0005545
47,6028.76,0.78725,0.40404,0.85437,0.95592,0.77127,0.77653,0.46963,0.78039,0.38979,0.86341,0.0005446,0.0005446,0.0005446
48,6158.16,0.78857,0.4011,0.85324,0.97778,0.77427,0.78665,0.48856,0.77774,0.37888,0.86464,0.0005347,0.0005347,0.0005347
49,6288.13,0.75083,0.3864,0.84483,0.95822,0.77367,0.78315,0.47842,0.77439,0.38744,0.86462,0.0005248,0.0005248,0.0005248
50,6415.34,0.78398,0.40028,0.85382,0.96788,0.77672,0.78609,0.49334,0.78205,0.39134,0.86747,0.0005149,0.0005149,0.0005149
51,6553.78,0.75594,0.38543,0.84932,0.9777,0.77214,0.78935,0.49799,0.77119,0.37863,0.86136,0.000505,0.000505,0.000505
52,6704.44,0.77906,0.3995,0.84896,0.95143,0.7661,0.78135,0.4709,0.7898,0.384,0.86706,0.0004951,0.0004951,0.0004951
53,6833.39,0.78747,0.40411,0.85065,0.97025,0.76612,0.78414,0.48411,0.78075,0.38912,0.8648,0.0004852,0.0004852,0.0004852
54,6955.84,0.75447,0.39176,0.84235,0.95975,0.7755,0.78579,0.47498,0.78946,0.38274,0.86589,0.0004753,0.0004753,0.0004753
55,7077.98,0.78739,0.39874,0.85481,0.97024,0.77769,0.78624,0.48179,0.80864,0.3885,0.87038,0.0004654,0.0004654,0.0004654
56,7201.06,0.75382,0.38864,0.8474,0.96436,0.77292,0.78784,0.48344,0.77897,0.38435,0.86386,0.0004555,0.0004555,0.0004555
57,7324.16,0.7703,0.39243,0.85037,0.96609,0.77153,0.78035,0.48138,0.77646,0.37791,0.86528,0.0004456,0.0004456,0.0004456
58,7446.13,0.75463,0.38626,0.84762,0.97193,0.76699,0.78535,0.47977,0.785,0.37485,0.86694,0.0004357,0.0004357,0.0004357
59,7568.41,0.77592,0.39212,0.85212,0.93806,0.7469,0.74889,0.43056,0.79946,0.38792,0.86935,0.0004258,0.0004258,0.0004258
60,7690.51,0.74816,0.38275,0.85028,0.94614,0.76405,0.77244,0.47678,0.77505,0.37658,0.86299,0.0004159,0.0004159,0.0004159
61,7814.77,0.75989,0.37678,0.84471,0.97425,0.76686,0.78358,0.48475,0.78348,0.37038,0.86742,0.000406,0.000406,0.000406
62,7936.94,0.77322,0.39062,0.85005,0.966,0.76558,0.77962,0.48764,0.76993,0.37246,0.86062,0.0003961,0.0003961,0.0003961
63,8059.41,0.75358,0.37457,0.84379,0.96629,0.77721,0.79013,0.48139,0.78339,0.3807,0.86437,0.0003862,0.0003862,0.0003862
64,8183.99,0.75387,0.38621,0.84818,0.96537,0.77588,0.79267,0.49416,0.76827,0.37094,0.85927,0.0003763,0.0003763,0.0003763
65,8306.91,0.75852,0.37836,0.8499,0.9591,0.77372,0.79368,0.48387,0.75989,0.36818,0.85962,0.0003664,0.0003664,0.0003664
66,8429.39,0.76802,0.38319,0.85259,0.98074,0.77999,0.78857,0.4899,0.77937,0.36577,0.86358,0.0003565,0.0003565,0.0003565
67,8551.93,0.7471,0.37977,0.84262,0.97774,0.78286,0.79868,0.48393,0.76813,0.35994,0.86222,0.0003466,0.0003466,0.0003466
68,8674.21,0.73732,0.37249,0.84142,0.97165,0.76424,0.78848,0.49045,0.77023,0.36476,0.8606,0.0003367,0.0003367,0.0003367
69,8799.4,0.74351,0.37338,0.8439,0.97236,0.77794,0.78911,0.49133,0.77208,0.37015,0.8604,0.0003268,0.0003268,0.0003268
70,8925.01,0.75097,0.38184,0.84465,0.9601,0.77794,0.78582,0.46885,0.76983,0.36692,0.86123,0.0003169,0.0003169,0.0003169
71,9047.56,0.73568,0.36225,0.84259,0.97042,0.77452,0.78253,0.48473,0.77142,0.36063,0.86199,0.000307,0.000307,0.000307
72,9169.43,0.72453,0.35899,0.84546,0.98191,0.78009,0.79123,0.4878,0.76629,0.35406,0.86073,0.0002971,0.0002971,0.0002971
73,9294.06,0.7198,0.35502,0.8376,0.9793,0.77431,0.78997,0.47477,0.78031,0.36076,0.86545,0.0002872,0.0002872,0.0002872
74,9419.02,0.74277,0.37242,0.84442,0.98661,0.77893,0.8269,0.49254,0.77376,0.36289,0.86185,0.0002773,0.0002773,0.0002773
75,9541.88,0.73216,0.36272,0.84315,0.97976,0.78434,0.80403,0.49405,0.75729,0.35394,0.86016,0.0002674,0.0002674,0.0002674
76,9667.64,0.72333,0.36501,0.84187,0.96863,0.77449,0.78092,0.48202,0.77193,0.35857,0.86435,0.0002575,0.0002575,0.0002575
77,9796.45,0.72186,0.35839,0.84007,0.9606,0.78051,0.78691,0.49584,0.74552,0.35359,0.85673,0.0002476,0.0002476,0.0002476
78,9919.34,0.751,0.37095,0.84944,0.97922,0.77691,0.78263,0.4948,0.76685,0.35431,0.86029,0.0002377,0.0002377,0.0002377
79,10041.7,0.74078,0.36853,0.84647,0.77005,0.87662,0.83032,0.49543,0.77788,0.35962,0.86223,0.0002278,0.0002278,0.0002278
80,10163.8,0.71651,0.35871,0.83774,0.78811,0.87886,0.85934,0.50839,0.76206,0.35766,0.85954,0.0002179,0.0002179,0.0002179
