epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,2894.82,0.87777,0.49281,0.86661,0.89538,0.9007,0.89903,0.53243,0.86791,0.47222,0.88368,0.0007624,0.0007624,0.0007624
26,3008.57,0.83796,0.46475,0.8637,0.9224,0.90545,0.9156,0.56526,0.85006,0.44418,0.88004,0.0007525,0.0007525,0.0007525
27,3130.04,0.84601,0.4704,0.86427,0.87723,0.9122,0.90744,0.54271,0.86589,0.46122,0.88224,0.0007426,0.0007426,0.0007426
28,3246.71,0.85174,0.45999,0.86649,0.91133,0.89918,0.90782,0.51482,0.87962,0.45389,0.88485,0.0007327,0.0007327,0.0007327
29,3364.86,0.86506,0.46613,0.86339,0.91737,0.89072,0.91708,0.5466,0.86243,0.46155,0.88102,0.0007228,0.0007228,0.0007228
30,3478.63,0.86486,0.46466,0.87045,0.90638,0.88723,0.89694,0.5285,0.87272,0.46116,0.88285,0.0007129,0.0007129,0.0007129
31,3594.02,0.84684,0.45591,0.86076,0.93912,0.90925,0.91825,0.55571,0.85043,0.44329,0.87811,0.000703,0.000703,0.000703
32,3708.67,0.83426,0.44951,0.86416,0.93131,0.89858,0.91403,0.5529,0.83538,0.43512,0.8768,0.0006931,0.0006931,0.0006931
33,3822.99,0.84403,0.45376,0.86697,0.95186,0.90494,0.92076,0.55495,0.84653,0.43561,0.87812,0.0006832,0.0006832,0.0006832
34,3937.08,0.82795,0.4499,0.86027,0.90919,0.8961,0.89931,0.51347,0.86682,0.44443,0.88685,0.0006733,0.0006733,0.0006733
35,4053.76,0.85016,0.45007,0.86093,0.93491,0.91426,0.92986,0.55534,0.91261,0.44532,0.89755,0.0006634,0.0006634,0.0006634
36,4167.44,0.82805,0.44161,0.86614,0.9263,0.89897,0.91451,0.54723,0.84759,0.43532,0.88098,0.0006535,0.0006535,0.0006535
37,4282.25,0.82982,0.43517,0.8611,0.9246,0.89994,0.92005,0.53046,0.83918,0.42545,0.87691,0.0006436,0.0006436,0.0006436
38,4395.19,0.81627,0.44076,0.85835,0.89965,0.90212,0.91463,0.52194,0.84821,0.43669,0.87972,0.0006337,0.0006337,0.0006337
39,4509.14,0.82086,0.43643,0.85876,0.94782,0.92683,0.93292,0.55906,0.83146,0.42378,0.87164,0.0006238,0.0006238,0.0006238
40,4629.48,0.81765,0.42901,0.86348,0.94179,0.91514,0.92413,0.55505,0.83619,0.40244,0.87506,0.0006139,0.0006139,0.0006139
41,4743.02,0.81973,0.42811,0.85791,0.94013,0.92397,0.93286,0.55953,0.84083,0.41952,0.87266,0.000604,0.000604,0.000604
42,4857.56,0.81379,0.42741,0.86018,0.93237,0.91962,0.93314,0.56446,0.82624,0.41405,0.87086,0.0005941,0.0005941,0.0005941
43,4981.2,0.79327,0.42486,0.85587,0.95523,0.91665,0.93145,0.56719,0.82849,0.40704,0.8731,0.0005842,0.0005842,0.0005842
44,5095.33,0.80219,0.43417,0.85673,0.92436,0.92039,0.92521,0.56715,0.82064,0.42076,0.87226,0.0005743,0.0005743,0.0005743
45,5209.06,0.82481,0.43574,0.85671,0.94215,0.92789,0.93267,0.57508,0.8353,0.41518,0.87257,0.0005644,0.0005644,0.0005644
46,5323.37,0.80346,0.43263,0.85363,0.92948,0.88195,0.89457,0.50718,0.86145,0.43438,0.88404,0.0005545,0.0005545,0.0005545
47,5438.55,0.81023,0.41956,0.85555,0.93986,0.91897,0.9334,0.53669,0.83501,0.41815,0.87268,0.0005446,0.0005446,0.0005446
48,5551.64,0.79679,0.41326,0.85267,0.95289,0.91865,0.93015,0.57646,0.81002,0.40104,0.87099,0.0005347,0.0005347,0.0005347
49,5664.84,0.80153,0.40793,0.85213,0.97501,0.91546,0.93458,0.54855,0.84993,0.40901,0.88082,0.0005248,0.0005248,0.0005248
50,5778.38,0.7961,0.40982,0.8474,0.94421,0.92512,0.93774,0.55076,0.83357,0.40547,0.87704,0.0005149,0.0005149,0.0005149
51,5892.38,0.7981,0.41087,0.85383,0.96179,0.9233,0.93523,0.56475,0.81975,0.39554,0.87089,0.000505,0.000505,0.000505
52,6008.55,0.78925,0.40002,0.85119,0.9523,0.92539,0.93183,0.57261,0.83152,0.39559,0.87707,0.0004951,0.0004951,0.0004951
53,6125.55,0.78848,0.40372,0.85024,0.94395,0.91942,0.93116,0.55579,0.83235,0.39875,0.87534,0.0004852,0.0004852,0.0004852
54,6238.63,0.78126,0.40308,0.85031,0.95172,0.92676,0.93244,0.57626,0.81688,0.39676,0.87063,0.0004753,0.0004753,0.0004753
55,6352.42,0.78375,0.41025,0.85042,0.94603,0.92214,0.93297,0.57276,0.82184,0.39345,0.87122,0.0004654,0.0004654,0.0004654
56,6465.67,0.79737,0.39761,0.85102,0.97445,0.93059,0.94657,0.57713,0.82896,0.39163,0.87548,0.0004555,0.0004555,0.0004555
57,6579.12,0.80312,0.4032,0.85565,0.94016,0.92379,0.92716,0.57184,0.8147,0.39073,0.86817,0.0004456,0.0004456,0.0004456
58,6692.72,0.78485,0.39958,0.85016,0.9478,0.92653,0.93478,0.57915,0.80677,0.38098,0.86925,0.0004357,0.0004357,0.0004357
59,6806.68,0.78149,0.40034,0.85144,0.96171,0.92932,0.93953,0.58241,0.81393,0.38849,0.87155,0.0004258,0.0004258,0.0004258
60,6923.21,0.80118,0.39825,0.85779,0.94978,0.91165,0.93298,0.54414,0.82001,0.3839,0.87075,0.0004159,0.0004159,0.0004159
61,7039.57,0.7871,0.39588,0.8536,0.97245,0.91868,0.93579,0.58273,0.80371,0.3784,0.87025,0.000406,0.000406,0.000406
62,7153.54,0.78014,0.38314,0.85071,0.96232,0.91205,0.93253,0.55737,0.80911,0.37796,0.86888,0.0003961,0.0003961,0.0003961
63,7267.28,0.79103,0.39004,0.85109,0.9716,0.93916,0.94554,0.58666,0.82106,0.37755,0.87314,0.0003862,0.0003862,0.0003862
64,7382.69,0.79836,0.39419,0.85428,0.95761,0.92282,0.93943,0.56396,0.84401,0.38579,0.88158,0.0003763,0.0003763,0.0003763
65,7508.45,0.76951,0.38899,0.8518,0.94452,0.92262,0.93081,0.55711,0.82066,0.38376,0.87058,0.0003664,0.0003664,0.0003664
66,7633.47,0.76266,0.38283,0.84871,0.93593,0.91626,0.92393,0.55575,0.81059,0.37812,0.87162,0.0003565,0.0003565,0.0003565
67,7749.69,0.78403,0.38361,0.85145,0.96956,0.92248,0.93195,0.57825,0.80099,0.37989,0.8666,0.0003466,0.0003466,0.0003466
68,7864.39,0.78099,0.39645,0.85231,0.97398,0.93034,0.93507,0.58319,0.8115,0.37799,0.86861,0.0003367,0.0003367,0.0003367
69,7977.66,0.76188,0.37719,0.84622,0.97091,0.92508,0.94204,0.57366,0.81074,0.37081,0.86835,0.0003268,0.0003268,0.0003268
70,8091.44,0.77679,0.38094,0.8509,0.95127,0.92099,0.92352,0.55364,0.81154,0.37178,0.86726,0.0003169,0.0003169,0.0003169
71,8212.11,0.76769,0.37447,0.84825,0.97264,0.93142,0.94202,0.57768,0.80757,0.37084,0.86778,0.000307,0.000307,0.000307
72,8330.27,0.7763,0.37808,0.84986,0.96465,0.92722,0.93152,0.58285,0.79937,0.367,0.86404,0.0002971,0.0002971,0.0002971
73,8443.2,0.74026,0.37002,0.84402,0.97706,0.93007,0.94177,0.56673,0.80134,0.36766,0.86769,0.0002872,0.0002872,0.0002872
74,8563.83,0.75265,0.37733,0.84455,0.95442,0.91248,0.91714,0.54244,0.82638,0.37803,0.87298,0.0002773,0.0002773,0.0002773
75,8679.79,0.75414,0.36958,0.84394,0.96398,0.92169,0.93085,0.5582,0.80222,0.3683,0.86711,0.0002674,0.0002674,0.0002674
76,8793.11,0.75939,0.36988,0.8466,0.96429,0.92744,0.93551,0.57703,0.80204,0.36265,0.86713,0.0002575,0.0002575,0.0002575
77,8906.1,0.76001,0.37489,0.84688,0.96026,0.92601,0.94234,0.56854,0.821,0.37496,0.87172,0.0002476,0.0002476,0.0002476
78,9019.91,0.76421,0.37072,0.84427,0.97289,0.9269,0.93458,0.57718,0.80272,0.36797,0.86588,0.0002377,0.0002377,0.0002377
79,9133.6,0.73099,0.3571,0.84129,0.96118,0.9126,0.92374,0.56059,0.80525,0.36765,0.86713,0.0002278,0.0002278,0.0002278
80,9246.4,0.75299,0.36586,0.84381,0.97691,0.93306,0.9427,0.58063,0.80393,0.36874,0.86688,0.0002179,0.0002179,0.0002179
81,9359.78,0.75643,0.36487,0.84325,0.95863,0.92097,0.93027,0.56404,0.82071,0.36805,0.87023,0.000208,0.000208,0.000208
82,9473.7,0.75767,0.3635,0.84209,0.9798,0.93033,0.94399,0.58601,0.79331,0.35681,0.86391,0.0001981,0.0001981,0.0001981
83,9587.09,0.7585,0.36709,0.84522,0.97287,0.92818,0.93829,0.56517,0.80548,0.36621,0.86525,0.0001882,0.0001882,0.0001882
84,9703.15,0.74523,0.36578,0.83938,0.97496,0.93028,0.93652,0.58308,0.79714,0.36039,0.86421,0.0001783,0.0001783,0.0001783
85,9818.09,0.73336,0.36378,0.84211,0.97906,0.92755,0.93821,0.57452,0.80851,0.38118,0.86693,0.0001684,0.0001684,0.0001684
86,9931.49,0.74149,0.35151,0.84331,0.97193,0.92536,0.93633,0.56798,0.7991,0.36306,0.86542,0.0001585,0.0001585,0.0001585
87,10045.3,0.7405,0.35356,0.84081,0.97368,0.92542,0.94152,0.57378,0.79495,0.36148,0.86367,0.0001486,0.0001486,0.0001486
88,10158,0.72955,0.35966,0.83942,0.97326,0.92927,0.94081,0.57333,0.79238,0.3646,0.86353,0.0001387,0.0001387,0.0001387
89,10271.8,0.74695,0.36363,0.84115,0.97545,0.93046,0.93964,0.59172,0.79414,0.35355,0.86415,0.0001288,0.0001288,0.0001288
90,10393.7,0.73443,0.34865,0.84,0.97337,0.93311,0.94265,0.57915,0.79455,0.35021,0.86394,0.0001189,0.0001189,0.0001189
91,10505.8,0.74003,0.35061,0.84578,0.97017,0.9297,0.93953,0.57002,0.80182,0.35696,0.86706,0.000109,0.000109,0.000109
92,10622.8,0.74151,0.34547,0.84933,0.9771,0.93091,0.93851,0.58399,0.79727,0.35233,0.86346,9.91e-05,9.91e-05,9.91e-05
93,10747,0.72988,0.3401,0.84044,0.97126,0.9253,0.93864,0.57355,0.79604,0.35644,0.86445,8.92e-05,8.92e-05,8.92e-05
94,10860.2,0.7205,0.34107,0.83892,0.97531,0.9216,0.93632,0.56658,0.80218,0.35695,0.86498,7.93e-05,7.93e-05,7.93e-05
95,10971.9,0.73095,0.33942,0.83867,0.97222,0.92458,0.93785,0.57291,0.79601,0.35466,0.86344,6.94e-05,6.94e-05,6.94e-05
96,11083.1,0.73668,0.33984,0.84148,0.98024,0.92608,0.94254,0.57267,0.79671,0.35059,0.86301,5.95e-05,5.95e-05,5.95e-05
97,11196,0.72671,0.34344,0.84305,0.97614,0.92932,0.94066,0.57762,0.7899,0.34884,0.86225,4.96e-05,4.96e-05,4.96e-05
98,11315.4,0.72246,0.33634,0.8392,0.98054,0.93289,0.9428,0.57962,0.79116,0.3483,0.86162,3.97e-05,3.97e-05,3.97e-05
99,11426.5,0.72826,0.33495,0.84532,0.97797,0.92752,0.93941,0.58328,0.78981,0.34795,0.86243,2.98e-05,2.98e-05,2.98e-05
100,11537.4,0.72902,0.3363,0.84382,0.97142,0.9312,0.93931,0.57992,0.794,0.34993,0.86351,1.99e-05,1.99e-05,1.99e-05
