epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.392,1.27198,2.28272,0.99213,0.01119,0.26907,0.24732,0.16761,1.10291,3.13195,0.93643,0.000328283,0.000328283,0.000328283
2,259.508,1.08905,1.00305,0.92319,0.87756,0.505,0.56962,0.27476,1.15959,1.60847,0.98263,0.000655066,0.000655066,0.000655066
3,379.867,1.0493,0.8976,0.91596,0.71095,0.60815,0.64822,0.32963,1.04553,0.90615,0.93567,0.000975249,0.000975249,0.000975249
4,498.931,1.01468,0.80796,0.90329,0.72889,0.63133,0.7502,0.39067,1.01647,0.90918,0.93023,0.0009703,0.0009703,0.0009703
5,612.517,1.01524,0.7883,0.9082,0.75823,0.74382,0.82758,0.44998,0.95084,0.75252,0.91021,0.0009604,0.0009604,0.0009604
6,726.294,1.00042,0.71398,0.89442,0.85355,0.80207,0.82537,0.47785,0.93555,0.67335,0.90569,0.0009505,0.0009505,0.0009505
7,839.615,0.95429,0.67566,0.89335,0.84125,0.75979,0.83092,0.45854,0.92423,0.68589,0.89956,0.0009406,0.0009406,0.0009406
8,953.538,0.95055,0.65727,0.88979,0.84331,0.81123,0.85304,0.48915,0.94855,0.63389,0.90399,0.0009307,0.0009307,0.0009307
9,1067.11,0.91743,0.61561,0.88063,0.83144,0.82664,0.82321,0.46456,0.91905,0.62439,0.89695,0.0009208,0.0009208,0.0009208
10,1181.36,0.9294,0.59563,0.88874,0.85893,0.8438,0.84816,0.50191,0.91934,0.60057,0.89604,0.0009109,0.0009109,0.0009109
11,1295.24,0.9308,0.60129,0.8825,0.84362,0.79921,0.85276,0.49018,0.93063,0.58476,0.90219,0.000901,0.000901,0.000901
12,1411.13,0.91508,0.57843,0.88266,0.78646,0.84664,0.84469,0.48136,0.9077,0.5744,0.89664,0.0008911,0.0008911,0.0008911
13,1525.31,0.9235,0.57423,0.88167,0.86021,0.81736,0.84802,0.4938,0.90066,0.55335,0.89242,0.0008812,0.0008812,0.0008812
14,1638.86,0.8934,0.55737,0.87741,0.87444,0.85866,0.87143,0.50339,0.89167,0.54962,0.88833,0.0008713,0.0008713,0.0008713
15,1752.41,0.89533,0.55492,0.87486,0.86627,0.84793,0.88097,0.5169,0.91249,0.55003,0.89214,0.0008614,0.0008614,0.0008614
16,1865.93,0.91299,0.54569,0.87408,0.88121,0.87679,0.87971,0.50933,0.8902,0.51047,0.88769,0.0008515,0.0008515,0.0008515
17,1978.71,0.90421,0.53424,0.88082,0.82571,0.77507,0.84951,0.49174,0.93012,0.56308,0.90503,0.0008416,0.0008416,0.0008416
18,2091.87,0.89104,0.52121,0.87378,0.83239,0.84795,0.85208,0.45843,0.90857,0.52592,0.8961,0.0008317,0.0008317,0.0008317
19,2206.95,0.86552,0.49642,0.86718,0.90889,0.9176,0.91612,0.5487,0.87366,0.49765,0.8814,0.0008218,0.0008218,0.0008218
20,2327.66,0.87853,0.51049,0.87392,0.86176,0.88201,0.89844,0.54026,0.9204,0.51484,0.89827,0.0008119,0.0008119,0.0008119
21,2441.48,0.85531,0.4913,0.86871,0.85515,0.86635,0.87735,0.49357,0.89697,0.50829,0.8944,0.000802,0.000802,0.000802
22,2554.94,0.86375,0.4891,0.86785,0.90184,0.89246,0.89808,0.52793,0.89287,0.4959,0.88832,0.0007921,0.0007921,0.0007921
23,2668.2,0.85918,0.49142,0.87026,0.88541,0.90929,0.90345,0.5512,0.86783,0.4681,0.88664,0.0007822,0.0007822,0.0007822
24,2781.38,0.85338,0.47942,0.8645,0.88894,0.89201,0.90788,0.52307,0.88905,0.50231,0.89146,0.0007723,0.0007723,0.0007723
